ticker,name,primary_exchange,date,close,stage,weeks_in_stage,price_vs_ma_pct,ma_slope_pct,ma_30,sma_20,sma_50,sma_200,volume,volume_ma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct
CBU,"Community Financial System, Inc.",XNYS,2025-10-20,56.18000030517578,1,1,-0.6437465756423444,-0.3032653815557201,56.5440003712972,57.236500358581544,59.40780044555664,57.1264999961853,493111,1228197,0.4014917802274391,-1.85,-5.43,-1.66
MKL,Markel Group Inc.,XNYS,2025-10-20,1905.260009765625,1,1,-0.6441337302039412,0.3883726592287238,1917.6119954427083,1950.122491455078,1872.2965966796876,1514.7682006835937,60680,202442,0.2997401724938501,-2.3,1.76,25.78
TRIN,Trinity Capital Inc. Common Stock,XNAS,2025-10-20,14.859999656677246,1,2,-0.6485278665714386,-1.0147579896521868,14.956999969482421,15.233999919891357,15.039999942779541,14.546274962425231,1099826,3808336,0.2887943710849043,-2.46,-1.2,2.16
FCF,First Commonwealth Financial Corporation,XNYS,2025-10-20,16.1200008392334,1,2,-0.7042629236342682,0.4744909963241745,16.23433322906494,16.73349986076355,16.50899990081787,14.833749961853027,865654,2815746,0.30743326990431663,-3.67,-2.36,8.67
CHCO,City Holding Co,XNAS,2025-10-20,120.36000061035156,1,2,-0.7229670396237637,0.29270780915801015,121.2365005493164,123.57825050354003,121.27770050048828,101.98562511444092,104091,489307,0.21273147533143813,-2.6,-0.76,18.02
BANR,Banner Corp.,XNAS,2025-10-20,63.040000915527344,1,2,-0.7725888587790105,-0.28409166942566444,63.530833053588864,64.70524940490722,65.62209999084473,57.318975086212156,512353,1017473,0.5035543940723735,-2.57,-3.93,9.98
PECO,"Phillips Edison & Company, Inc. Common Stock",XNAS,2025-10-20,34.619998931884766,1,1,-0.7838166942497146,-0.5245531797162268,34.893500010172524,34.647250175476074,35.77370018005371,34.14002512931824,1414724,4049063,0.3493954033315856,-0.08,-3.22,1.41
CLFD,"Clearfield, Inc.",XNAS,2025-10-20,35.20000076293945,1,5,-0.7854467945158381,2.0215288427761955,35.47866681416829,36.90350027084351,34.23860027313233,49.09860016822815,142165,657934,0.2160779044706612,-4.62,2.81,-28.31
MEOH,Methanex Corp,XNAS,2025-10-20,33.90999984741211,1,1,-0.7967082310025494,-0.9944288282835689,34.18233331044515,35.719000244140624,38.73480007171631,42.829000005722044,881515,2601849,0.33880328950680844,-5.06,-12.46,-20.82
BKNG,Booking Holdings Inc. Common Stock,XNAS,2025-10-20,5286.0,1,2,-0.8054341149055403,1.620046101594781,5328.920947265625,5476.328955078125,5164.748154296875,3424.8567877197265,603705,996488,0.6058326843875691,-3.48,2.35,54.34
ACT,"Enact Holdings, Inc. Common Stock",XNAS,2025-10-20,36.040000915527344,1,2,-0.8241679146074846,0.7513475306165097,36.339499409993486,36.81024932861328,35.24509967803955,28.824074935913085,352078,1826377,0.19277400011060147,-2.09,2.26,25.03
HBAN,Huntington Bancshares Inc,XNAS,2025-10-20,15.9399995803833,1,2,-0.850095756178159,0.9523805911676871,16.076666641235352,16.75449995994568,16.264400024414062,13.981000022888184,57794782,148649201,0.3887998160178473,-4.86,-1.99,14.01
UVSP,Univest Financial Corporation Common Stock,XNAS,2025-10-20,29.459999084472656,1,2,-0.8692756109598899,0.22821304635687623,29.718333307902018,30.21550006866455,29.856599922180177,25.280199975967406,173154,486848,0.3556633692651505,-2.5,-1.33,16.53
LWAC,LightWave Acquisition Corp. Class A Ordinary Shares,XNAS,2025-10-20,10.050000190734863,1,7,-0.8819678720621168,0.19763978118807657,10.139426676432292,10.29913501739502,,,11898,849966,0.013998206987103013,-2.42,,
HWC,Hancock Whitney Corporation Common Stock,XNAS,2025-10-20,56.7400016784668,1,1,-0.9150570359327908,1.4857305821673272,57.263999938964844,59.78199996948242,57.038300018310544,49.067775115966796,1528535,3852274,0.396787715515563,-5.09,-0.52,15.64
FLG,"Flagstar Bank, National Association",XNYS,2025-10-20,11.529999732971191,1,2,-0.9166449280735509,-0.2542930780607321,11.63666664759318,11.739000034332275,11.398400020599365,,5716729,28524835,0.2004123424377389,-1.78,1.15,
BRK.B,BERKSHIRE HATHAWAY Class B,XNYS,2025-10-20,491.2900085449219,1,6,-0.9350815570296961,-0.5803663896644001,495.927333577474,487.11000061035156,488.9033996582031,385.0298490905762,7319842,20744840,0.3528512150491399,0.86,0.49,27.6
PNC,PNC Financial Services Group,XNYS,2025-10-20,181.91000366210938,1,1,-0.9415202069168587,0.8322196561373766,183.63900197347004,192.88150177001953,187.8866015625,164.04715019226074,5902182,9597558,0.6149670572451867,-5.69,-3.18,10.89
OM,"Outset Medical, Inc. Common Stock",XNAS,2025-10-20,15.270000457763672,1,8,-0.9492066942810776,3.4792142581407433,15.416333325703938,15.767499923706055,14.625340042114258,181.01542778015136,806597,1488743,0.5417973417843106,-3.16,4.41,-91.56
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,XNYS,2025-10-20,22.75,1,2,-0.9520212436996061,-0.7189688895018306,22.96866658528646,23.671499919891357,23.686600036621094,23.297899961471558,3318169,11609074,0.28582546721642055,-3.89,-3.95,-2.35
ARR,"ARMOUR Residential REIT, Inc.",XNYS,2025-10-20,15.6899995803833,1,1,-0.9553087972633493,-2.2441633076578986,15.841333230336508,15.858999919891357,17.01579988479614,24.48240003108978,5089876,16076554,0.3166024261169402,-1.07,-7.79,-35.91
CRBG,"Corebridge Financial, Inc.",XNYS,2025-10-20,32.18000030517578,1,2,-0.9724265450573598,-0.04716333763598226,32.49600003560384,33.651500129699706,32.26480007171631,,5167343,16469839,0.3137458113585688,-4.37,-0.26,
MPB,"Mid Penn Bancorp, Inc.",XNAS,2025-10-20,27.649999618530273,1,2,-1.0131394696213276,0.8229559362419776,27.93299986521403,28.54499979019165,28.37199993133545,26.532024955749513,137722,573513,0.24013753829468557,-3.14,-2.54,4.21
LTC,"LTC Properties, Inc.",XNYS,2025-10-20,35.06999969482422,1,2,-1.037503784807735,-0.12682234235154877,35.43766682942708,35.52350025177002,35.48580009460449,35.403150148391724,558174,1721574,0.32422306563644665,-1.28,-1.17,-0.94
QLYS,"Qualys, Inc. Common Stock",XNAS,2025-10-20,131.83999633789062,1,3,-1.044548950917534,0.23812187920755776,133.23166631062824,134.7389995574951,135.69039993286134,138.87987522125243,526497,1519128,0.3465784318372119,-2.15,-2.84,-5.07
LAD,"Lithia Motors, Inc.",XNYS,2025-10-20,311.8699951171875,1,2,-1.089109471493648,0.4895338492985571,315.3040008544922,321.4415023803711,329.9342010498047,287.37145004272463,535308,1361702,0.39311684935470464,-2.98,-5.48,8.53
CTBI,Community Trust Bancorp Inc,XNAS,2025-10-20,52.540000915527344,1,1,-1.0962098144733265,0.48994265008307486,53.1223331451416,54.876999855041504,53.67099998474121,44.95149995803833,110192,281871,0.3909306030063398,-4.26,-2.11,16.88
