ticker,name,primary_exchange,date,close,stage,weeks_in_stage,price_vs_ma_pct,ma_slope_pct,ma_30,sma_20,sma_50,sma_200,volume,volume_ma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct
JHG,Janus Henderson Group plc Ordinary Shares,XNYS,2025-10-20,42.119998931884766,2,3,6.287586457975158,1.9911807362997656,39.628333218892415,42.22299976348877,40.69979999542236,32.276999931335446,2100731,5016619,0.41875434431038117,-0.24,3.49,30.5
NE,Noble Corporation plc,XNYS,2025-10-20,27.950000762939453,2,3,6.154024169361426,1.9633914630337024,26.329666709899904,28.187500095367433,27.75700008392334,36.337350063323974,3547923,11642475,0.3047395850109191,-0.84,0.7,-23.08
SWX,"Southwest Gas Holdings, Inc.",XNYS,2025-10-20,79.41999816894531,2,3,5.14562899780822,0.8545488998554248,75.53333307902018,77.36850013732911,74.96239959716797,71.14944992065429,520300,1986021,0.2619811170173931,2.65,5.95,11.62
BOKF,BOK Financial Corp,XNAS,2025-10-20,106.5199966430664,2,3,4.9909782119372155,0.8632572284179704,101.45633316040039,105.50599937438965,104.84,94.52039985656738,765699,1076887,0.7110300337918463,0.96,1.6,12.7
AIZ,"Assurant, Inc.",XNYS,2025-10-20,210.83999633789062,2,3,4.6968918594924425,0.47213975349087156,201.38133290608724,204.35199890136718,205.72600006103517,169.6764002227783,452202,1787382,0.25299684119007576,3.17,2.49,24.26
CPK,Chesapeake Utilities,XNYS,2025-10-20,132.02999877929688,2,3,4.329753325722763,0.7903366088050156,126.55066706339518,126.08150024414063,125.93740051269532,120.26370021820068,248885,620842,0.4008829943850448,4.72,4.84,9.78
AMZN,Amazon.Com Inc,XNAS,2025-10-20,222.02999877929688,2,3,4.308648760817061,1.3461479805928906,212.8586664835612,223.00449981689454,214.21919982910157,159.2021552658081,89377384,203100677,0.440064431690693,-0.44,3.65,39.46
MFC,Manulife Financial Corp.,XNYS,2025-10-20,31.799999237060547,2,3,2.8948596999383995,0.7793561001308924,30.905333201090496,31.13799982070923,30.83180004119873,23.369150013923644,2101249,9630317,0.21819105227792607,2.13,3.14,36.08
BKU,"Bankunited, Inc.",XNYS,2025-10-20,36.84000015258789,2,3,2.4766112631723187,1.2001498610099028,35.94966665903727,37.35799980163574,37.067000007629396,33.451250076293945,1678890,3993827,0.4203712379129091,-1.39,-0.61,10.13
CNX,CNX Resources Corporation,XNYS,2025-10-20,31.969999313354492,2,3,2.2887229614732916,0.5296451753212231,31.254666582743326,31.399000072479247,31.918999862670898,23.292149949073792,3864751,9338772,0.41383931420533665,1.82,0.16,37.26
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,XNAS,2025-10-20,89.73999786376953,2,3,1.283821815839098,1.976554839918594,88.6024996439616,91.67049903869629,86.7724998474121,67.76892513275146,255967,463841,0.5518421183120941,-2.11,3.42,32.42
ANRO,Alto Neuroscience Inc.,XNYS,2025-10-20,10.850000381469727,2,4,215.7129114890195,20.89587234899291,3.436666663487752,3.9595000028610228,3.590199990272522,,18829882,4998403,3.767179637176114,174.02,202.21,
GSIT,GSI Technology,XNAS,2025-10-20,10.859999656677246,2,4,187.35226096496373,16.001636487185404,3.7793332894643146,4.178499948978424,3.4567999696731566,3.251061500310898,177558687,10152526,17.489114236200923,159.9,214.16,234.04
FLNC,"Fluence Energy, Inc. Class A Common Stock",XNAS,2025-10-20,16.260000228881836,2,4,108.45263295984996,20.851086376327324,7.800333340962728,9.452250027656556,9.770199995040894,16.301850035190583,13104583,28333459,0.4625126427380434,72.02,66.42,-0.26
ATXS,"Astria Therapeutics, Inc. Common Stock",XNAS,2025-10-20,12.15999984741211,2,4,91.994944976523,8.707841222253576,6.333500003814697,7.193999981880188,6.9853000068664555,8.627650022506714,8646195,5025547,1.7204485402285563,69.03,74.08,40.94
KRRO,"Korro Bio, Inc. Common Stock",XNAS,2025-10-20,41.439998626708984,2,4,90.96626773956281,14.940367871660417,21.70016679763794,25.01600022315979,27.3349001121521,,414947,881100,0.4709420043127908,65.65,51.6,
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,XNAS,2025-10-20,23.670000076293945,2,4,69.9129021197285,11.883918363109352,13.930666700998943,15.110000133514404,14.892600059509277,,13367740,26148651,0.5112210186292211,56.65,58.94,
CLSK,CLEANSPARK INC,XNAS,2025-10-20,18.770000457763672,2,4,68.28295650837978,14.386558879636718,11.153833309809366,12.385249948501587,11.024699993133545,8.615825008749962,82357497,132907161,0.619661848017354,51.55,70.25,117.85
TVTX,"Travere Therapeutics, Inc. Common Stock",XNAS,2025-10-20,27.799999237060547,2,4,48.83023387051524,5.040488397948073,18.67899990081787,19.673999881744386,18.9661999130249,17.395799961090088,4005373,8799192,0.45519781816330407,41.3,46.58,59.81
CAMT,Camtek Ltd,XNAS,2025-10-20,120.37999725341797,2,4,44.50426107438136,8.92384332905337,83.30550003051758,92.78400001525878,81.81980026245117,58.95634997367859,912915,2183215,0.4181516708157465,29.74,47.13,104.18
ODP,The ODP Corporation Common Stock,XNAS,2025-10-20,27.780000686645508,2,4,43.2278723363082,9.551154225666718,19.39566666285197,21.39099998474121,20.197800083160402,37.33480002880096,1045828,3348286,0.31234727260455053,29.87,37.54,-25.59
TER,"Teradyne, Inc. Common Stock",XNAS,2025-10-20,143.3300018310547,2,4,43.19253639889353,6.892967729364556,100.09600041707357,111.76500015258789,105.73180023193359,107.2215996170044,4526232,18098556,0.250088018071718,28.24,35.56,33.68
CYTK,Cytokinetics Inc.,XNAS,2025-10-20,57.779998779296875,2,4,42.61443041965131,4.904088872139332,40.51483332316081,43.280999946594235,43.319699935913086,45.778124961853024,2463590,9176625,0.2684636236088976,33.5,33.38,26.22
UMAC,"Unusual Machines, Inc.",XASE,2025-10-20,12.470000267028809,2,4,36.13042032268065,11.331226398490088,9.160333331425985,10.86749997138977,9.715599985122681,,3505322,20086363,0.17451252872409007,14.75,28.35,
CSIQ,Canadian Solar Inc. Common Shares (ON),XNAS,2025-10-20,15.069999694824219,2,4,33.24098657755746,6.057575142601254,11.310333315531413,12.196999979019164,11.198399982452393,23.94472496032715,4360052,7558389,0.576849378882193,23.55,34.57,-37.06
RVMD,"Revolution Medicines, Inc. Common Stock",XNAS,2025-10-20,53.4900016784668,2,4,32.31965926615491,4.188162665578235,40.42483329772949,41.46174983978271,41.85369987487793,31.556774892807006,3742146,10562943,0.3542711534086665,29.01,27.8,69.5
AMAT,Applied Materials Inc,XNAS,2025-10-20,226.0,2,4,28.9106939526803,5.410356544221205,175.31516825358074,187.06375122070312,172.78690124511718,152.05467502593993,10052277,36442502,0.27583937568282224,20.81,30.8,48.63
ALB,Albemarle Corporation,XNYS,2025-10-20,91.33999633789062,2,4,28.032365652444568,2.966943165185917,71.3413330078125,78.13899974822998,78.06379974365234,158.1239501953125,5414013,19355896,0.2797087254446914,16.89,17.01,-42.24
MBX,"MBX Biosciences, Inc. Common Stock",XNAS,2025-10-20,15.3100004196167,2,4,26.457513714012855,7.6753185861777915,12.106833330790202,13.137750053405762,12.832100057601929,,2007495,4402068,0.45603452740848166,16.53,19.31,
CLDX,"Celldex Therapeutics, Inc",XNAS,2025-10-20,27.90999984741211,2,4,26.287686689521117,4.287849013952887,22.10033343633016,23.580000114440917,22.720800037384034,31.573050055503845,1535784,5599523,0.274270504826929,18.36,22.84,-11.6
MARA,"MARA Holdings, Inc. Common Stock",XNAS,2025-10-20,20.06999969482422,2,4,25.007784924792258,5.02845627833821,16.05499986012777,16.989999866485597,17.11539993286133,15.34330001115799,89242849,253511302,0.3520271021289615,18.13,17.26,30.81
EXAS,Exact Sciences Corp,XNAS,2025-10-20,63.40999984741211,2,4,22.750414329223155,3.913180542196024,51.65766665140788,52.39950008392334,52.2616000366211,59.28495013236999,3788344,13277758,0.285315035866748,21.01,21.33,6.96
ZGN,Ermenegildo Zegna N.V.,XNYS,2025-10-20,10.470000267028809,2,4,21.815011652579756,4.072489363501117,8.595000012715657,8.95550000667572,8.445800008773803,10.781200001239776,1674480,5150151,0.3251322145700194,16.91,23.97,-2.89
DDOG,"Datadog, Inc. Class A Common Stock",XNAS,2025-10-20,156.25,2,4,21.53479960572165,5.530261864647357,128.564000193278,139.96100082397462,130.84960006713868,112.56629978179932,4664744,28876791,0.16153955610926435,11.64,19.41,38.81
WST,"West Pharmaceutical Services, Inc.",XNYS,2025-10-20,279.3900146484375,2,4,19.413091964867167,2.509923977971632,233.96933288574218,245.32999954223632,257.5033981323242,314.25050003051757,1280372,3143620,0.4072922299769056,13.88,8.5,-11.09
ZVRA,"Zevra Therapeutics, Inc. Common Stock",XNAS,2025-10-20,11.100000381469727,2,4,18.973190672963963,3.8571428568901007,9.32983331680298,10.030749988555907,8.927399988174438,,1954761,7604859,0.2570410575659588,10.66,24.34,
ANGO,"AngioDynamics, Inc.",XNAS,2025-10-20,11.699999809265137,2,4,17.959401056249742,2.8871752011202347,9.91866668065389,10.076500034332275,9.757400016784668,11.5662500166893,595454,2691167,0.22126237427851933,16.11,19.91,1.16
RGR,"Sturm, Ruger & Company, Inc.",XNYS,2025-10-20,44.25,2,4,17.70182141384502,1.7869235937086034,37.59500020345052,37.79450016021728,37.40939994812012,49.20464984893799,319436,998293,0.31998220963184154,17.08,18.29,-10.07
SRE,Sempra,XNYS,2025-10-20,92.29000091552734,2,4,16.07345125473699,3.7601243568143192,79.5099998474121,82.18400001525879,80.79039993286133,77.19162487030029,6166856,18141704,0.33992705426127556,12.3,14.23,19.56
TXG,"10x Genomics, Inc. Class A Common Stock",XNAS,2025-10-20,13.029999732971191,2,4,15.820503459138118,2.2695937247880664,11.25016671816508,12.625250005722046,12.111500024795532,36.313450129032134,8549691,15031384,0.5687893410214255,3.21,7.58,-64.12
NTGR,"NETGEAR, Inc.",XNAS,2025-10-20,32.18000030517578,2,4,15.72695098337729,4.6832355697629,27.806833267211914,28.450749969482423,27.117699851989745,20.18177495956421,664139,2193018,0.3028424755291566,13.11,18.67,59.45
UAL,"United Airlines Holdings, Inc. Common Stock",XNAS,2025-10-20,100.11000061035156,2,4,15.61670580511533,3.572517861325368,86.58783340454102,93.61350021362304,89.97849990844726,56.71602493286133,13305471,30791672,0.43211265045951386,6.94,11.26,76.51
GTLS,"Chart Industries, Inc.",XNYS,2025-10-20,199.60000610351562,2,4,15.374169971841672,3.987121316257695,173.0023333231608,186.5190002441406,178.02959976196288,155.08410011291505,1083545,8939729,0.12120557569474422,7.01,12.12,28.7
NEE,"NextEra Energy, Inc.",XNYS,2025-10-20,83.98999786376953,2,4,15.08895089637537,2.0614132312692894,72.97833302815755,75.06349983215333,72.66639953613281,73.65134979248047,12507864,48467254,0.25806834445376253,11.89,15.58,14.04
CCSI,"Consensus Cloud Solutions, Inc. Common Stock",XNAS,2025-10-20,26.979999542236328,2,4,14.715760137931605,1.5939521652232749,23.518999926249187,24.75449981689453,24.163399963378907,33.200574946403506,297292,623763,0.4766105075164766,8.99,11.66,-18.74
APA,APA Corporation Common Stock,XNAS,2025-10-20,22.579999923706055,2,4,14.414079186413725,1.998415115719834,19.735333347320555,21.3125,20.646000080108642,32.25020002841949,11540000,34715689,0.33241454605725956,5.95,9.37,-29.98
CLMB,"Climb Global Solutions, Inc. Common Stock",XNAS,2025-10-20,129.9600067138672,2,4,13.611335379412582,1.6315183486158225,114.39000015258789,118.69425010681152,119.08640060424804,,46780,302027,0.15488681475497224,9.49,9.13,
SR,Spire Inc.,XNYS,2025-10-20,86.87000274658203,2,4,13.424095366162728,1.305080037866904,76.58866704305014,77.21150054931641,74.62340042114258,68.04965002059936,740168,2225125,0.33264108757934946,12.51,16.41,27.66
NTAP,"NetApp, Inc",XNAS,2025-10-20,119.08000183105469,2,4,13.327857388160025,3.425682401462038,105.07566680908204,111.63750038146972,108.7797998046875,90.8104499053955,2622083,9073582,0.28897991994782213,6.67,9.47,31.13
